model_name,split,threshold,precision,recall,f1,specificity,approval_rate,true_negative,false_positive,false_negative,true_positive,default_loss_exposure,rejected_good_ead,opportunity_cost_rate_assumption,total_cost_proxy
Logistic Regression,validation,0.35,0.3062692702980473,0.6520787746170679,0.4167832167832168,0.8678284707264539,0.8251258087706685,4432,675,159,298,322081512.7847,2222846112.7,0.02,366538435.0387
Logistic Regression,validation,0.36,0.3159574468085106,0.649890590809628,0.4251968503937008,0.874094380262385,0.8310567936736161,4464,643,160,297,324243721.152396,2110216651.9,0.02,366448054.190396
Logistic Regression,validation,0.37,0.322072072072072,0.6258205689277899,0.4252788104089219,0.8821225768552966,0.8404025880661394,4505,602,171,286,337019371.981095,2003693634.37,0.02,377093244.668495
Logistic Regression,validation,0.38,0.3286549707602339,0.6148796498905909,0.4283536585365853,0.8876052476992363,0.846333572969087,4533,574,176,281,341039532.1999389,1916390829.76,0.02,379367348.79513896
Logistic Regression,validation,0.39,0.3390875462392108,0.6017505470459519,0.4337539432176656,0.8950460152731545,0.8542415528396836,4571,536,182,275,379150529.350324,1818130684.07,0.02,415513143.031724
Logistic Regression,validation,0.4,0.3492884864165588,0.5908096280087527,0.4390243902439024,0.9015077344820834,0.8610711718188353,4604,503,187,270,385583413.7943381,1687818307.4,0.02,419339779.9423381
Logistic Regression,validation,0.41,0.3505434782608695,0.5645514223194749,0.432523051131601,0.9064029763070296,0.8677210639827462,4629,478,199,258,437600914.0742571,1610140154.28,0.02,469803717.1598571
Logistic Regression,validation,0.42,0.3642857142857142,0.5579868708971554,0.4407951598962835,0.9128646955159584,0.8741912293314162,4662,445,202,255,440014599.55902,1546303657.17,0.02,470940672.70242006
Logistic Regression,validation,0.43,0.3692077727952167,0.5404814004376368,0.4387211367673179,0.9173683179949088,0.8797627606038821,4685,422,210,247,453338375.83609307,1460985912.51,0.02,482558094.086293
Logistic Regression,validation,0.44,0.3811802232854864,0.5229759299781181,0.4409594095940959,0.9240258468768358,0.8873112868439972,4719,388,218,239,458999848.389015,1361214194.79,0.02,486224132.284815
Logistic Regression,validation,0.45,0.3921901528013582,0.5054704595185996,0.4416826003824092,0.9299001370667712,0.8941409058231489,4749,358,226,231,469842357.50727,1221313707.81,0.02,494268631.66347
Logistic Regression,validation,0.46,0.4068100358422939,0.4967177242888402,0.4472906403940886,0.9351869982377128,0.8997124370956147,4776,331,230,227,475016720.907797,1122321952.6999998,0.02,497463159.961797
Logistic Regression,validation,0.47,0.4125475285171102,0.474835886214442,0.4415055951169888,0.9394948110436656,0.9054636951833214,4798,309,240,217,489395170.531985,1037307905.46,0.02,510141328.641185
Logistic Regression,validation,0.48,0.4104627766599598,0.4463894967177242,0.4276729559748428,0.9426277658116312,0.9106757728253057,4814,293,253,204,510285638.367031,1014195154.2899998,0.02,530569541.452831
Logistic Regression,validation,0.49,0.4186046511627907,0.4332603938730853,0.4258064516129032,0.9461523399255924,0.9149892163910855,4832,275,259,198,519944453.98346,899534165.93,0.02,537935137.30206
Logistic Regression,validation,0.5,0.4222222222222222,0.4157549234135667,0.4189636163175303,0.94908948502056,0.9191229331416249,4847,260,267,190,528290039.197596,857730674.9099998,0.02,545444652.6957959
Logistic Regression,validation,0.51,0.4335664335664335,0.4070021881838074,0.4198645598194131,0.9524182494615234,0.9228971962616822,4864,243,271,186,541035870.441417,796954992.6499999,0.02,556974970.294417
Logistic Regression,validation,0.52,0.4447174447174447,0.3960612691466083,0.4189814814814814,0.9557470139024868,0.9268511861969806,4881,226,276,181,549168288.727759,766149262.69,0.02,564491273.981559
Logistic Regression,validation,0.53,0.4498714652956298,0.3829321663019693,0.4137115839243498,0.958096729978461,0.9300862688713156,4893,214,282,175,554381132.960947,734954339.99,0.02,569080219.7607471
Logistic Regression,validation,0.54,0.455026455026455,0.3763676148796498,0.4119760479041916,0.9596632073624436,0.9320632638389648,4901,206,285,172,578232344.299115,715112206.6699998,0.02,592534588.4325149
Logistic Regression,validation,0.55,0.4502762430939226,0.3566739606126914,0.398046398046398,0.9610338750734286,0.9349388928828182,4908,199,294,163,590885558.7691109,684531021.3499999,0.02,604576179.196111
