model_name,split,threshold_type,threshold,roc_auc,pr_auc,precision,recall,f1,specificity,brier_score,approval_rate,true_negative,false_positive,false_negative,true_positive
Logistic Regression,validation,standard_0.50,0.5,0.8356338470516504,0.39975360598445897,0.4222222222222222,0.41575492341356673,0.4189636163175303,0.94908948502056,0.08221882442850856,0.9191229331416247,4847,260,267,190
Logistic Regression,test,standard_0.50,0.5,0.8550358979235582,0.4085015335567415,0.1737336694934678,0.8763005780346821,0.2899770466717674,0.6469839404622013,0.22752387765026363,0.6061207908278414,6607,3605,107,758
Calibrated Random Forest,validation,standard_0.50,0.5,0.8648386241221235,0.43468580618839836,0.0,0.0,0.0,1.0,0.0646716840731634,1.0,5107,0,457,0
Calibrated Random Forest,test,standard_0.50,0.5,0.8675410771414791,0.4247449798155235,0.0,0.0,0.0,1.0,0.06687915643570523,1.0,10212,0,865,0
Calibrated Random Forest,validation,operating_recall_constraint,0.17,0.8648386241221235,0.43468580618839836,0.34334763948497854,0.700218818380744,0.4607631389488841,0.8801644801253182,0.0646716840731634,0.8324946081955428,4495,612,137,320
Calibrated Random Forest,test,operating_recall_constraint,0.17,0.8675410771414791,0.4247449798155235,0.1982194291699398,0.8751445086705202,0.3232280102476516,0.700156678417548,0.06687915643570523,0.6552315608919382,7150,3062,108,757
